libyuv r2921+644251f25-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.9.arch1-2
linux-api-headers 7.2-1
linux-firmware 20260810-2
linux-firmware-amdgpu 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-broadcom 20260810-2
linux-firmware-cirrus 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-mediatek 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-radeon 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-headers 7.1.9.arch1-2
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsend 1.18.2-1
localsend-debug 1.18.2-1
loupe 50.0-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lsd 1.2.0-2
lsof 4.99.7-1
lua 5.5.1-1
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1787165859+1ee778a-1
lv2 1.18.10-2
ly 1.4.1-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
mbedtls 4.2.0-1
mbedtls3 3.6.7-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.2.1-1
minizip 1:1.3.2-3
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
muparser 2.3.5-2
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.5-1
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
networkmanager-openvpn 1.12.5-1
networkmanager-vpn-plugin-openvpn 1.12.5-1
nftables 1:1.1.6-3
nm-connection-editor 1.36.0-2
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.127-1
ntfs-3g 2026.7.7-1
obs-studio 32.2.2-1
obsidian 1.13.7-2
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
onnxruntime-cpu 1.29.0-1
openbsd-netcat 1.238_1-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openresolv 3.17.4-1
openssh 10.5p1-1
openssl 3.6.4-1
openvpn 2.7.6-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
ostree 2026.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 3.0.5-1
playerctl 2.4.1-5
polkit 127-3
poppler 26.08.0-1
poppler-glib 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
pps-tools 1.0.3-2
procps-ng 4.0.7-1
protobuf 35.1-2
psmisc 23.7-2
pugixml 1.16-1
python 3.14.7-1
python-attrs 26.1.0-1
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-cryptography 50.0.1-1
python-dbus 1.4.0-2
python-filelock 3.29.4-1
python-gobject 3.56.3-1
python-idna 3.19-1
python-notify2 0.3.1-12
python-packaging 26.3-1
python-pip 26.2.1-1
python-pycparser 3.00-1
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-urllib3 2.7.0-1
python-wheel 0.48.0-1
qca-qt6 2.3.10-8
qqc2-desktop-style 6.29.0-2
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-quickcontrols 5.15.19-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt5ct 1.9-2
qt6-5compat 6.11.2-1
qt6-base 6.11.2-2
qt6-declarative 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-virtualkeyboard 6.11.2-1
qt6-wayland 6.11.2-1
qt6ct 0.11-8
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
redland 1:1.0.17-10
reflector 2023-5
ripgrep 15.2.0-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rofi-emoji 4.1.0-3
rtkit 0.14-1
rubberband 4.0.0-2
runc 1.5.1-1
sbc 2.2-1
sdbus-cpp 2.3.1-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
seatd 0.9.3-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
simde 0.8.2-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
solid 6.29.0-1
sonnet 6.29.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
sshfs 3.7.6-1
starship 1.26.0-1
startup-notification 0.12-9
steam 1.0.0.87-3
steam-devices 1.0.0.87-3
stow 2.4.1-1
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
swappy 1.8.0-1
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
tar 1.35-5
tcpdump 4.99.6-1
tdb 1.4.15-1
texinfo 7.3-1
thunar 4.20.9-1
tinysparql 3.11.1-1
tlp 1.10.2-1
tokei 14.0.0-1
tomlplusplus 3.4.0-2
tpm2-tss 4.2.0-2
tree 2.3.2-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-firacode-nerd 3.5.1-2
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
twolame 0.4.0-4
tzdata 2026c-1
udisks2 2.11.2-1
ufw 0.36.2-7
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uwsm 0.26.7-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vesktop-bin 1.6.7-1
vid.stab 1.1.1-3
vlc 3.0.23_2-12
vlc-cli 3.0.23_2-12
vlc-gui-qt 3.0.23_2-12
vlc-plugin-a52dec 3.0.23_2-12
vlc-plugin-alsa 3.0.23_2-12
vlc-plugin-archive 3.0.23_2-12
vlc-plugin-dav1d 3.0.23_2-12
vlc-plugin-dbus 3.0.23_2-12
